Date,Price,Open,High,Low,Vol.,Change %
2020-06-10,33854.0,33542.7,34321.0,33075.7,1.63M,0.35%
2020-06-11,31519.2,33854.0,34009.7,31519.2,3.00M,-6.90%
2020-06-12,33075.7,30741.0,33075.7,30741.0,2.41M,4.94%
2020-06-15,31052.3,32920.1,32920.1,31052.3,1.89M,-6.12%
2020-06-16,31674.9,32297.5,32375.3,31519.2,1.21M,2.01%
2020-06-17,31363.6,31674.9,31986.2,31013.4,1.03M,-0.98%
2020-06-18,31519.2,31363.6,31597.1,31130.1,791.70K,0.50%
2020-06-19,32258.6,32064.0,32258.6,31674.9,906.10K,2.35%
2020-06-22,32141.8,32297.5,32569.9,31752.7,783.40K,-0.36%
2020-06-23,31674.9,31947.3,32180.8,31519.2,1.40M,-1.45%
2020-06-24,31363.6,31674.9,32064.0,31285.8,870.40K,-0.98%
2020-06-25,31130.1,31130.1,31324.7,30974.5,995.90K,-0.74%
2020-06-26,31052.3,31830.5,31830.5,30896.6,902.20K,-0.25%
2020-06-29,29962.7,30585.3,30741.0,29884.9,1.68M,-3.51%
2020-06-30,29495.8,30351.9,30390.8,29418.0,1.08M,-1.56%
2020-07-01,30507.5,29495.8,30663.2,29495.8,967.60K,3.43%
2020-07-02,30351.9,30702.1,30702.1,30118.4,630.70K,-0.51%
2020-07-03,30429.7,30546.4,30585.3,30196.2,688.40K,0.26%
2020-07-06,31207.9,30663.2,31285.8,30429.7,952.90K,2.56%
2020-07-07,31597.1,31441.4,31791.6,31324.7,1.38M,1.25%
2020-07-08,31558.2,31519.2,31674.9,31130.1,966.70K,-0.12%
2020-07-09,32375.3,31558.2,32608.8,31558.2,1.93M,2.59%
2020-07-10,32297.5,32064.0,32414.2,31713.8,1.30M,-0.24%
2020-07-13,32141.8,32414.2,32569.9,31908.4,1.31M,-0.48%
2020-07-14,32102.9,31791.6,32141.8,31674.9,1.25M,-0.12%
2020-07-15,32180.8,32453.1,32453.1,32141.8,868.40K,0.24%
2020-07-16,32180.8,32180.8,32219.7,31908.4,595.30K,0.00%
2020-07-17,32375.3,32219.7,32569.9,32219.7,1.69M,0.60%
2020-07-20,31752.7,32453.1,32492.1,31752.7,1.05M,-1.92%
2020-07-21,31752.7,31908.4,31908.4,31402.5,471.10K,0.00%
2020-07-22,31130.1,31908.4,31908.4,30741.0,944.00K,-1.96%
2020-07-23,31013.4,31130.1,31480.3,30857.7,961.30K,-0.37%
2020-07-24,29729.3,31013.4,31013.4,29379.0,2.27M,-4.14%
2020-07-27,27666.9,28017.1,29418.0,27666.9,1.94M,-6.94%
2020-07-28,29456.9,28017.1,29456.9,28017.1,1.50M,6.47%
2020-07-29,28756.4,28639.7,28951.0,27861.5,912.70K,-2.38%
2020-07-30,28951.0,29184.5,29184.5,28017.1,528.10K,0.68%
2020-07-31,28523.0,28017.1,28989.9,28017.1,603.60K,-1.48%
2020-08-03,28951.0,28250.6,29067.7,28250.6,813.30K,1.50%
2020-08-04,29495.8,29573.6,29573.6,29184.5,621.30K,1.88%
2020-08-05,30157.3,29418.0,30351.9,29262.3,1.15M,2.24%
2020-08-06,29768.2,30079.5,30274.0,29729.3,751.20K,-1.29%
2020-08-07,29651.4,29768.2,30040.6,29534.7,669.20K,-0.39%
2020-08-10,29651.4,29923.8,30118.4,29651.4,672.60K,0.00%
2020-08-11,29962.7,29846.0,30040.6,29651.4,982.00K,1.05%
2020-08-12,30507.5,30040.6,30624.3,30040.6,1.21M,1.82%
2020-08-13,30857.7,30741.0,30896.6,30585.3,847.00K,1.15%
2020-08-14,30351.9,30624.3,30818.8,30196.2,1.24M,-1.64%
2020-08-17,30118.4,30274.0,30351.9,29923.8,793.60K,-0.77%
2020-08-18,29884.9,30351.9,30351.9,29884.9,834.20K,-0.78%
2020-08-19,30040.6,29884.9,30235.1,29884.9,435.60K,0.52%
2020-08-20,29768.2,30040.6,30235.1,29768.2,1.08M,-0.91%
2020-08-21,30313.0,29884.9,30546.4,29884.9,1.38M,1.83%
2020-08-24,30857.7,30741.0,31052.3,30507.5,1.18M,1.80%
2020-08-25,30741.0,31052.3,31130.1,30663.2,1.12M,-0.38%
2020-08-26,30624.3,30741.0,30741.0,30585.3,1.05M,-0.38%
2020-08-27,30429.7,30585.3,30663.2,30351.9,1.38M,-0.64%
2020-08-28,31558.2,30741.0,31908.4,30585.3,3.81M,3.71%
2020-08-31,31869.5,31597.1,32141.8,31558.2,2.52M,0.99%
2020-09-01,32219.7,31519.2,32219.7,31441.4,2.67M,1.10%
2020-09-03,32842.3,32297.5,32842.3,32064.0,3.35M,1.93%
2020-09-04,32764.4,32141.8,32920.1,32102.9,2.52M,-0.24%
2020-09-07,31597.1,32842.3,32842.3,31597.1,2.83M,-3.56%
2020-09-08,31791.6,31752.7,31908.4,31169.0,1.59M,0.62%
2020-09-09,31752.7,31285.8,31869.5,31207.9,1.01M,-0.12%
2020-09-10,31519.2,31986.2,32025.1,31519.2,1.07M,-0.74%
2020-09-11,31480.3,31519.2,31636.0,31324.7,972.50K,-0.12%
2020-09-14,31519.2,31558.2,31752.7,31480.3,1.17M,0.12%
2020-09-15,31713.8,31674.9,32064.0,31441.4,1.40M,0.62%
2020-09-16,31558.2,31830.5,31830.5,31480.3,687.10K,-0.49%
2020-09-17,31519.2,31674.9,31986.2,31363.6,1.91M,-0.12%
2020-09-18,31908.4,31597.1,31908.4,31519.2,1.76M,1.23%
2020-09-21,31752.7,32064.0,32297.5,31674.9,1.27M,-0.49%
2020-09-22,31674.9,31674.9,31830.5,31480.3,1.46M,-0.25%
2020-09-23,32219.7,31752.7,32608.8,31752.7,2.65M,1.72%
2020-09-24,31830.5,32064.0,32336.4,31752.7,1.92M,-1.21%
2020-09-25,31752.7,31908.4,31986.2,31558.2,1.68M,-0.24%
2020-09-28,32141.8,31947.3,32453.1,31752.7,2.46M,1.23%
